transaction_id,date,retailer_id,order_value_pkr,delivery_distance_km,is_default,credit_score,base_loyalty,avg_basket_size_pkr,fuel_price_pkr,replacement_cost_index,hormuz_blockage_active,base_cost,logistics_cost,total_cost,default_prob,optimized_price,expected_profit,prob_accept,margin_pct
txn_1,2026-01-01,r_0003,22997.83,22.2,0,41.6,0.49,26517.151410590475,266.0,100.1,False,18416.662264000002,1181.04,19597.702264000003,0.292,24277.15362091429,583.5452606375343,0.1761352788952867,23.877551020408163
txn_2,2026-01-01,r_0036,17503.68,24.5,1,21.1,0.6,21810.034765974924,266.0,100.1,False,14016.946944,1303.4,15320.346943999999,0.3945,19162.94008566857,524.8920916526996,0.22559604348961057,25.08163265306122
txn_3,2026-01-01,r_0048,42524.22,17.8,0,38.69,0.48,39973.79638511755,266.0,100.1,False,34053.395376,946.96,35000.355376,0.30655,42936.15023778285,991.877495331741,0.18024052814487512,22.6734693877551
txn_4,2026-01-01,r_0062,24352.24,2.4,0,40.06,0.96,28987.367141519928,266.0,100.1,False,19501.273792,127.67999999999999,19628.953792,0.29969999999999997,27152.050775954285,1838.755564464513,0.3490142932722521,38.326530612244895
txn_5,2026-01-01,r_0067,22664.65,5.1,0,17.0,0.31,19047.905908533856,266.0,100.1,False,18149.85172,271.32,18421.17172,0.415,22154.278560399995,250.04224656686105,0.11449515429840695,20.26530612244898
txn_6,2026-01-01,r_0072,27824.3,11.0,1,3.44,0.81,27024.90228761132,266.0,100.1,False,22281.69944,585.2,22866.89944,0.4828,29978.971837257144,1113.3432467137975,0.30267349668842325,31.102040816326525
txn_7,2026-01-01,r_0073,9133.8,20.1,0,15.94,0.38,11353.087861141848,266.0,100.1,False,7314.347039999999,1069.3200000000002,8383.667039999998,0.4203,10183.589024914283,145.4815997142193,0.13942834934683426,21.46938775510204
txn_8,2026-01-01,r_0075,12646.08,24.4,0,24.91,0.35,13185.72627406379,266.0,100.1,False,10126.980864000001,1298.08,11425.060864000001,0.37545,13877.951482148572,192.34933536238293,0.12555826191051206,21.46938775510204
txn_9,2026-01-01,r_0095,14539.29,3.2,1,32.58,0.85,13205.67901340218,266.0,100.1,False,11643.063431999999,170.24,11813.303431999999,0.3371,15771.965520845713,809.4278646140099,0.3084478162925643,33.51020408163265
txn_10,2026-01-01,r_0111,23625.69,18.0,1,7.14,0.4,24693.32550819004,266.0,100.1,False,18919.452552,957.6,19877.052551999997,0.4643,24144.53403867428,340.6023172844511,0.1489890346632516,21.46938775510204
txn_11,2026-01-01,r_0154,44637.91,22.5,0,13.64,0.57,54699.59539871273,266.0,100.1,False,35746.038327999995,1197.0,36943.038327999995,0.4318,46208.95549230857,1099.024240158367,0.2087457434936496,25.08163265306122
txn_12,2026-01-01,r_0161,22820.43,17.5,1,38.66,0.88,19150.104603487674,266.0,100.1,False,18274.600344,931.0,19205.600344,0.30670000000000003,25872.687320559995,1476.0949331788354,0.3193426820532559,34.71428571428571
txn_13,2026-01-01,r_0178,16300.02,21.5,1,43.83,1.0,15637.02691484644,266.0,100.1,False,13053.056016,1143.8,14196.856016,0.28085,19808.960118651426,1502.266677757717,0.3722218222237999,39.53061224489795
txn_14,2026-01-01,r_0179,19122.98,13.0,0,22.02,0.92,20419.023554799747,266.0,100.1,False,15313.682383999998,691.6,16005.282383999998,0.3899,21754.118505599996,1188.8099903562995,0.3389467643720392,35.91836734693877
txn_15,2026-01-01,r_0183,14324.61,2.6,1,18.93,0.44,15855.693421712363,266.0,100.1,False,11471.147688000001,138.32,11609.467688,0.40535,14241.73679032,250.53583424415842,0.16005827892881455,22.6734693877551
txn_16,2026-01-01,r_0191,29459.54,15.0,0,30.74,0.81,28580.618229342155,266.0,100.1,False,23591.199632,798.0,24389.199632,0.34630000000000005,31974.73845632,1500.8569979175954,0.30267349668842325,31.102040816326525
txn_17,2026-01-01,r_0193,17893.29,9.8,1,13.47,0.91,17199.05169236127,266.0,100.1,False,14328.946632,521.36,14850.306632,0.43265,20184.294320228568,1001.9093360209655,0.33107421299644163,35.91836734693877
txn_18,2026-01-01,r_0207,14028.89,17.2,1,26.67,0.56,15813.317766684915,266.0,100.1,False,11234.335112,915.04,12149.375112000002,0.36665,15196.636747234288,392.3483528160221,0.2032910761210143,25.08163265306122
txn_19,2026-01-01,r_0210,32893.17,17.3,0,25.05,0.83,35391.36613668197,266.0,100.1,False,26340.850535999998,920.36,27261.210536,0.37475,36068.25059283429,1681.5964850487478,0.30537826185508216,32.30612244897959
txn_20,2026-01-01,r_0214,24662.81,16.9,0,9.07,0.7,21127.01563530872,266.0,100.1,False,19749.978248,899.0799999999999,20649.058248,0.45465000000000005,26574.073737120005,816.7258605826459,0.25276183506370503,28.693877551020407
txn_21,2026-01-01,r_0215,26382.83,19.9,0,42.63,0.91,24169.488113172032,266.0,100.1,False,21127.370264,1058.6799999999998,22186.050264,0.28685,30154.917297599997,1881.4939330540194,0.33107421299644163,35.91836734693877
