transaction_id,date,retailer_id,order_value_pkr,delivery_distance_km,is_default,credit_score,base_loyalty,avg_basket_size_pkr,fuel_price_pkr,replacement_cost_index,hormuz_blockage_active,base_cost,logistics_cost,default_prob,total_cost,target_price
txn_1,2026-01-01,r_0003,22997.83,22.2,0,41.6,0.49,26517.151410590475,266.0,100.1,False,18416.662264000002,1181.04,0.292,19597.702264000003,27680.370429378538
txn_2,2026-01-01,r_0036,17503.68,24.5,1,21.1,0.6,21810.034765974924,266.0,100.1,False,14016.946944,1303.4,0.3945,15320.346943999999,25301.97678612717
txn_3,2026-01-01,r_0048,42524.22,17.8,0,38.69,0.48,39973.79638511755,266.0,100.1,False,34053.395376,946.96,0.30655,35000.355376,50472.78877496575
txn_4,2026-01-01,r_0062,24352.24,2.4,0,40.06,0.96,28987.367141519928,266.0,100.1,False,19501.273792,127.67999999999999,0.29969999999999997,19628.953792,28029.349981436528
txn_5,2026-01-01,r_0067,22664.65,5.1,0,17.0,0.31,19047.905908533856,266.0,100.1,False,18149.85172,271.32,0.415,18421.17172,31489.182427350428
txn_6,2026-01-01,r_0072,27824.3,11.0,1,3.44,0.81,27024.90228761132,266.0,100.1,False,22281.69944,585.2,0.4828,22866.89944,44212.87594740913
txn_7,2026-01-01,r_0073,9133.8,20.1,0,15.94,0.38,11353.087861141848,266.0,100.1,False,7314.347039999999,1069.3200000000002,0.4203,8383.667039999998,14462.07873037778
txn_8,2026-01-01,r_0075,12646.08,24.4,0,24.91,0.35,13185.72627406379,266.0,100.1,False,10126.980864000001,1298.08,0.37545,11425.060864000001,18293.26853574574
txn_9,2026-01-01,r_0095,14539.29,3.2,1,32.58,0.85,13205.67901340218,266.0,100.1,False,11643.063431999999,170.24,0.3371,11813.303431999999,17820.64177402323
txn_10,2026-01-01,r_0111,23625.69,18.0,1,7.14,0.4,24693.32550819004,266.0,100.1,False,18919.452552,957.6,0.4643,19877.052551999997,37104.82089229045
txn_11,2026-01-01,r_0154,44637.91,22.5,0,13.64,0.57,54699.59539871273,266.0,100.1,False,35746.038327999995,1197.0,0.4318,36943.038327999995,65017.66689193944
txn_12,2026-01-01,r_0161,22820.43,17.5,1,38.66,0.88,19150.104603487674,266.0,100.1,False,18274.600344,931.0,0.30670000000000003,19205.600344,27701.716924852153
txn_13,2026-01-01,r_0178,16300.02,21.5,1,43.83,1.0,15637.02691484644,266.0,100.1,False,13053.056016,1143.8,0.28085,14196.856016,19741.16111520545
txn_14,2026-01-01,r_0179,19122.98,13.0,0,22.02,0.92,20419.023554799747,266.0,100.1,False,15313.682383999998,691.6,0.3899,16005.282383999998,26233.867208654316
txn_15,2026-01-01,r_0183,14324.61,2.6,1,18.93,0.44,15855.693421712363,266.0,100.1,False,11471.147688000001,138.32,0.40535,11609.467688,19523.19463213655
txn_16,2026-01-01,r_0191,29459.54,15.0,0,30.74,0.81,28580.618229342155,266.0,100.1,False,23591.199632,798.0,0.34630000000000005,24389.199632,37309.46861251339
txn_17,2026-01-01,r_0193,17893.29,9.8,1,13.47,0.91,17199.05169236127,266.0,100.1,False,14328.946632,521.36,0.43265,14850.306632,26174.8596668723
txn_18,2026-01-01,r_0207,14028.89,17.2,1,26.67,0.56,15813.317766684915,266.0,100.1,False,11234.335112,915.04,0.36665,12149.375112000002,19182.71905265651
txn_19,2026-01-01,r_0210,32893.17,17.3,0,25.05,0.83,35391.36613668197,266.0,100.1,False,26340.850535999998,920.36,0.37475,27261.210536,43600.49665893643
txn_20,2026-01-01,r_0214,24662.81,16.9,0,9.07,0.7,21127.01563530872,266.0,100.1,False,19749.978248,899.0799999999999,0.45465000000000005,20649.058248,37863.86402860549
txn_21,2026-01-01,r_0215,26382.83,19.9,0,42.63,0.91,24169.488113172032,266.0,100.1,False,21127.370264,1058.6799999999998,0.28685,22186.050264,31109.935166514762
txn_22,2026-01-01,r_0216,26373.36,10.2,1,30.77,0.99,24310.49991567467,266.0,100.1,False,21119.786688,542.64,0.34615,21662.426688,33130.575342968565
txn_23,2026-01-01,r_0218,53142.02,24.0,0,31.99,0.88,46596.992807610695,266.0,100.1,False,42556.129616,1276.8,0.34005,43832.929616,66418.5614304114
txn_24,2026-01-01,r_0221,34809.26,16.0,0,14.41,0.97,36564.67430115855,266.0,100.1,False,27875.255408,851.2,0.42795,28726.455408,50216.68631762959
txn_25,2026-01-01,r_0224,25638.45,6.1,1,20.39,0.9,30570.803967635147,266.0,100.1,False,20531.27076,324.52,0.39805,20855.79076,34647.048359498294
txn_26,2026-01-01,r_0250,47149.08,16.2,1,33.22,0.51,48248.49330594762,266.0,100.1,False,37756.983264,861.8399999999999,0.33390000000000003,38618.823264,57977.51578441676
txn_27,2026-01-01,r_0253,11416.89,13.0,0,13.6,0.88,13539.665523446032,266.0,100.1,False,9142.645512,691.6,0.43200000000000005,9834.245512,17313.81252112676
txn_28,2026-01-01,r_0256,13081.47,15.5,1,34.71,0.83,15532.619604813,266.0,100.1,False,10475.641176,824.6,0.32644999999999996,11300.241176,16777.13781604929
txn_29,2026-01-01,r_0261,39008.74,7.8,0,21.78,0.73,36262.77013188586,266.0,100.1,False,31238.198991999994,414.96000000000004,0.3911,31653.158991999993,51984.16651666939
txn_30,2026-01-01,r_0276,27175.54,19.6,0,44.17,0.35,33030.03267934721,266.0,100.1,False,21762.172432,1042.72,0.27915,22804.892432,31636.113521537074
